backbone,model,method,budget,groups,taxa,accuracy,singleton_accuracy,joint_wrong_pair,same_wrong_pair,any_single_correct_set_wrong,all_single_wrong_set_correct,nll,brier,top5,micro_accuracy,group_equal_nll,group_equal_brier,group_equal_top5,group_equal_ece
dinov2,deepsets,native,1,1121.0,56.0,0.575781392717808,0.575781392717808,,,0.0,0.0,1.6884454576636347,0.5411724137194422,0.8214475493926018,0.5682822876400039,1.7077374969564065,0.5500061187980071,0.8204727921498662,0.04985010476829254
dinov2,deepsets,native,2,1121.0,56.0,0.6499724735795536,0.575781392717808,0.29316048893363944,0.11712023419994592,0.0737574335189024,0.016890396032095387,1.3547665755415441,0.457847730323996,0.8732892180765521,0.6392209336901576,1.3797426578056193,0.46937809477928627,0.8724947963128159,0.04892055665416348
dinov2,deepsets,native,3,510.0,56.0,0.6570895465315109,0.5641509796420511,0.309217361122123,0.11684583659286035,0.09809576997076996,0.009952088255659684,1.3055145056922106,0.44734595857178344,0.8783760105635104,0.646470588235294,1.3232301504563528,0.46331105129516575,0.8814705882352941,0.04833827317028846
dinov2,deepsets,native,4,230.0,56.0,0.6456490929705216,0.5396369520030233,0.3332825491307634,0.1349553571428571,0.11665249433106577,0.0038888888888888883,1.2905933213233898,0.4617052883873542,0.8797902494331066,0.6310144927536232,1.3471129841277316,0.4845159285706488,0.8750724637681159,0.06956163702667621
dinov2,deepsets,native,5,108.0,47.0,0.6109929078014185,0.49004728132387704,0.36452718676122925,0.1309338061465721,0.17541371158392435,0.0,1.3768290065797695,0.51310168022996,0.8775413711583924,0.6203703703703703,1.344495403959594,0.4991986202667471,0.8765432098765432,0.11363053089582624
dinov2,deepsets,probability_pool,1,1121.0,56.0,0.575781392717808,0.575781392717808,,,0.0,0.0,1.6884454576636347,0.5411724137194422,0.8214475493926018,0.5682822876400039,1.7077374969564065,0.5500061187980071,0.8204727921498662,0.04985010476829254
dinov2,deepsets,probability_pool,2,1121.0,56.0,0.6485268280590076,0.575781392717808,0.29316048893363944,0.11712023419994592,0.06111272354627184,0.0028000405389189847,1.4333332804634056,0.48617839631539633,0.8681196278776824,0.6372683120229953,1.4536188696089232,0.49529451536432895,0.8670730498562791,0.098858317987593
dinov2,deepsets,probability_pool,3,510.0,56.0,0.6709509843661629,0.5641509796420511,0.309217361122123,0.11684583659286035,0.07515820323856037,0.0008759593581022154,1.4056031726270188,0.4805621236202425,0.8792761347448845,0.6588235294117647,1.4257357843934322,0.49560173809173486,0.8819934640522876,0.14284671738176388
dinov2,deepsets,probability_pool,4,230.0,56.0,0.6574173280423281,0.5396369520030233,0.3332825491307634,0.1349553571428571,0.10123346560846562,0.0002380952380952381,1.3818005217616578,0.4993603274594644,0.8955711451247166,0.6428985507246378,1.4392440818496224,0.517083178739635,0.8855072463768118,0.13816467823980425
dinov2,deepsets,probability_pool,5,108.0,47.0,0.6381796690307329,0.49004728132387704,0.36452718676122925,0.1309338061465721,0.14822695035460992,0.0,1.476836984167596,0.5383961825573641,0.8998817966903072,0.6450617283950617,1.4807076654024123,0.5345606405075847,0.8858024691358025,0.1711293583688395
