observation_id,observer_id,taxon_id,class_index,cohort,split
199056020,537891,2548,0,robird_scaleup_v5_2_4_candidate,train
200331384,1049943,2548,0,robird_scaleup_v5_2_4_candidate,train
208189519,1320996,2548,0,robird_scaleup_v5_2_4_candidate,train
224180053,2012632,2548,0,robird_scaleup_v5_2_4_candidate,train
247210818,8609336,2548,0,robird_scaleup_v5_2_4_candidate,train
249404607,4336881,2548,0,robird_scaleup_v5_2_4_candidate,validation
250218477,6485705,2548,0,robird_scaleup_v5_2_4_candidate,train
252553566,2750462,2548,0,robird_scaleup_v5_2_4_candidate,train
257065600,766,2548,0,robird_scaleup_v5_2_4_candidate,validation
265316761,124900,2548,0,robird_scaleup_v5_2_4_candidate,development_test
277184504,2688098,2548,0,robird_scaleup_v5_2_4_candidate,validation
280660447,1152361,2548,0,robird_scaleup_v5_2_4_candidate,development_test
294569072,291538,2548,0,robird_scaleup_v5_2_4_candidate,development_test
295703972,5469844,2548,0,robird_scaleup_v5_2_4_candidate,train
307125986,8901540,2548,0,robird_scaleup_v5_2_4_candidate,train
308785921,8121913,2548,0,robird_scaleup_v5_2_4_candidate,validation
310904310,516407,2548,0,robird_scaleup_v5_2_4_candidate,train
314439758,770125,2548,0,robird_scaleup_v5_2_4_candidate,train
314652246,7189487,2548,0,robird_scaleup_v5_2_4_candidate,validation
320805278,1152744,2548,0,robird_scaleup_v5_2_4_candidate,development_test
325013852,4253236,2548,0,roq_confirmation_inspected,development_test
328852378,6272410,2548,0,roq_confirmation_inspected,train
330614223,1794233,2548,0,roq_confirmation_inspected,validation
330960986,7090273,2548,0,roq_confirmation_inspected,train
331396772,1933219,2548,0,roq_confirmation_inspected,train
332492434,8635873,2548,0,robird_scaleup_v5_2_4_candidate,train
332936044,4737401,2548,0,roq_confirmation_inspected,train
333078429,1366509,2548,0,roq_confirmation_inspected,train
335527542,8333282,2548,0,roq_confirmation_inspected,train
336074934,1455302,2548,0,roq_confirmation_inspected,train
341176880,2773996,2548,0,robird_scaleup_v5_2_4_candidate,train
344287423,7919289,2548,0,robird_scaleup_v5_2_4_candidate,train
345301623,397660,2548,0,robird_scaleup_v5_2_4_candidate,development_test
345930506,1990243,2548,0,roq_confirmation_inspected,train
348463398,336994,2548,0,roq_confirmation_inspected,train
361128559,574660,2548,0,roq_confirmation_inspected,development_test
375700231,6206309,2548,0,roq_original_inspected,train
378958251,1392649,2548,0,roq_original_inspected,validation
380906423,6447498,2548,0,roq_original_inspected,train
384030843,7193171,2548,0,roq_original_inspected,train
384465489,8953913,2548,0,roq_original_inspected,train
385078148,8953913,2548,0,roq_original_inspected,train
385324810,891868,2548,0,roq_original_inspected,train
385363658,5555198,2548,0,roq_confirmation_inspected,train
386368372,1154205,2548,0,roq_original_inspected,train
386442932,7193171,2548,0,roq_original_inspected,train
386623147,4924559,2548,0,roq_original_inspected,validation
387197514,278787,2548,0,robird_scaleup_v5_2_4_candidate,train
388372844,493290,2548,0,roq_original_inspected,train
389165983,6630943,2548,0,robird_scaleup_v5_2_4_candidate,development_test
389480506,2769682,2548,0,roq_original_inspected,train
389798826,7193171,2548,0,roq_original_inspected,train
151498874,2572233,4205,1,robird_scaleup_v5_2_4_candidate,train
181498621,2596549,4205,1,robird_scaleup_v5_2_4_candidate,validation
191952522,1424706,4205,1,robird_scaleup_v5_2_4_candidate,train
192348034,1197717,4205,1,robird_scaleup_v5_2_4_candidate,train
198446510,3574096,4205,1,robird_scaleup_v5_2_4_candidate,development_test
201260359,3220276,4205,1,robird_scaleup_v5_2_4_candidate,train
204422396,2385076,4205,1,robird_scaleup_v5_2_4_candidate,development_test
235389038,6985313,4205,1,robird_scaleup_v5_2_4_candidate,train
246669568,4892437,4205,1,robird_scaleup_v5_2_4_candidate,validation
250905614,4552489,4205,1,robird_scaleup_v5_2_4_candidate,train
257240096,5229384,4205,1,robird_scaleup_v5_2_4_candidate,development_test
257924594,4136707,4205,1,robird_scaleup_v5_2_4_candidate,train
279636985,6161799,4205,1,robird_scaleup_v5_2_4_candidate,train
279983321,4887807,4205,1,robird_scaleup_v5_2_4_candidate,train
282346177,2628203,4205,1,robird_scaleup_v5_2_4_candidate,validation
301777728,5271755,4205,1,roq_confirmation_inspected,development_test
307025520,389997,4205,1,roq_confirmation_inspected,train
313829316,793005,4205,1,roq_confirmation_inspected,train
314986092,6464143,4205,1,roq_confirmation_inspected,train
322061205,1360566,4205,1,robird_scaleup_v5_2_4_candidate,validation
324758919,3091300,4205,1,roq_confirmation_inspected,validation
328672547,3660093,4205,1,roq_confirmation_inspected,development_test
328722480,439749,4205,1,roq_confirmation_inspected,train
329841158,1311841,4205,1,robird_scaleup_v5_2_4_candidate,development_test
335180134,9564705,4205,1,roq_confirmation_inspected,train
337665361,942333,4205,1,roq_confirmation_inspected,train
338173901,5674289,4205,1,robird_scaleup_v5_2_4_candidate,train
338368460,601774,4205,1,robird_scaleup_v5_2_4_candidate,validation
338534095,9372976,4205,1,roq_confirmation_inspected,train
