taxon_id,class_index,scientific_name,observation_id,observer_id,photo_id,license_code,attribution,original_url,url,observation_url,cohort,split,selection_basis,strict10_taxon,sha256,width,height,dhash
2548,0,Megaceryle alcyon,55615856,298482,88571411,cc-by,"(c) Wren, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/88571411/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/88571411/large.jpg,https://www.inaturalist.org/observations/55615856,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,d4b47641f1802500658df7ac06e9e620bd8b9060967e6a8516108b04eb5bc874,896,896,9d0c1c7843e2452d
2548,0,Megaceryle alcyon,55615856,298482,88638962,cc-by,"(c) Wren, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/88638962/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/88638962/large.jpg,https://www.inaturalist.org/observations/55615856,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,9c20e56b931295e2b2bfa175b5f20b1a84ba04a27cce53e447ffcc73d68f32f6,282,282,9e1c70e2c44d1b48
2548,0,Megaceryle alcyon,55756769,591320,88803905,cc-by,"(c) Bob Virag, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/88803905/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/88803905/large.jpg,https://www.inaturalist.org/observations/55756769,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,14823bbb63d51f16d26aa397af6c1a97f0530f9bf19addb9090d5fcc22a0656c,1024,576,060d4f1b136371d7
2548,0,Megaceryle alcyon,55756769,591320,88804389,cc-by,"(c) Bob Virag, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/88804389/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/88804389/large.jpeg,https://www.inaturalist.org/observations/55756769,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,f89c08e1f1e10572f566002478ad3f54dff5391c6eb87a2a2172c29ead5732e3,1024,772,496a4e0683ea3c7c
2548,0,Megaceryle alcyon,55756769,591320,88804464,cc-by,"(c) Bob Virag, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/88804464/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/88804464/large.jpeg,https://www.inaturalist.org/observations/55756769,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,2a71f18ea520ba846591f30d80b3276c2db92e088210f580c6f3b8d8f3af1cde,1024,772,b79e9b8bafbb3f27
2548,0,Megaceryle alcyon,58932424,3112069,94121796,cc-by,"(c) Fil, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/94121796/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/94121796/large.jpeg,https://www.inaturalist.org/observations/58932424,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,ccce5ef80a3c04bd1d95aa4dd8b67b7d87022dc8fc3c3966b2e33fa9264b441d,1024,683,070f1f0f1f1f1f0f
2548,0,Megaceryle alcyon,58932424,3112069,94122069,cc-by,"(c) Fil, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/94122069/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/94122069/large.jpeg,https://www.inaturalist.org/observations/58932424,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,35716eaa10adf8b1693a6246b432e94776e923b065a9a3009dfbc6acc67696d3,1024,683,070f0f0f0f0f0f0f
2548,0,Megaceryle alcyon,58932424,3112069,94122078,cc-by,"(c) Fil, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/94122078/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/94122078/large.jpeg,https://www.inaturalist.org/observations/58932424,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,afba856ef2c410e51837d965d3cf23bd7c0b738cc38b47ae451ff2128a011de2,1024,683,2b3b965a36160d03
2548,0,Megaceryle alcyon,58932424,3112069,94122079,cc-by,"(c) Fil, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/94122079/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/94122079/large.jpeg,https://www.inaturalist.org/observations/58932424,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,cc694dde111500f7aaa47b24c7c692e661436713c476e0682079a9527e96c319,1024,683,1f1f0f1f17171f1f
2548,0,Megaceryle alcyon,58932424,3112069,94122085,cc-by,"(c) Fil, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/94122085/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/94122085/large.jpeg,https://www.inaturalist.org/observations/58932424,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,650db10c58f7e6b9be8df822cb2dd664aa4d0c57cb64201fb5535d0efaf6fe0e,1024,683,070f1e0f0f171f0f
2548,0,Megaceryle alcyon,60443768,990003,96651174,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/96651174/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/96651174/large.jpg,https://www.inaturalist.org/observations/60443768,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,214b372aa10ebe9b05e18de40955251cd37bb2ac1baf26ce65e65a21a1eb1bc3,768,1024,f9f089b575fbf61a
2548,0,Megaceryle alcyon,60443768,990003,96651199,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/96651199/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/96651199/large.jpg,https://www.inaturalist.org/observations/60443768,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,f129b5da11461b03dcd7e25250f8f59a64f6a1eac4378f0d09aa5016bc91da4b,768,1024,378e0e021b193812
2548,0,Megaceryle alcyon,60443768,990003,96651228,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/96651228/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/96651228/large.jpg,https://www.inaturalist.org/observations/60443768,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,0056b61e24204d83e1c58df05d1c47ea3ae8824efa58a6cd5e3c0851735657cd,768,1024,e444343034b1b21a
2548,0,Megaceryle alcyon,60443768,990003,96651251,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/96651251/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/96651251/large.jpg,https://www.inaturalist.org/observations/60443768,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,8dfa72f62f0db008e0a9d6e692f8d24bd7ef7de49dad6cc97968a4d578aed8fa,768,1024,9715177374353131
