taxon_id,class_index,scientific_name,observation_id,observer_id,photo_id,license_code,attribution,original_url,url,observation_url,cohort,split,selection_basis,strict10_taxon,sha256,width,height,dhash,difficulty,difficulty_bin
2548,0,Megaceryle alcyon,55615856,298482,88571411,cc-by,"(c) Wren, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/88571411/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/88571411/large.jpg,https://www.inaturalist.org/observations/55615856,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,d4b47641f1802500658df7ac06e9e620bd8b9060967e6a8516108b04eb5bc874,896,896,9d0c1c7843e2452d,4.3263245,2
2548,0,Megaceryle alcyon,55615856,298482,88638962,cc-by,"(c) Wren, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/88638962/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/88638962/large.jpg,https://www.inaturalist.org/observations/55615856,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,9c20e56b931295e2b2bfa175b5f20b1a84ba04a27cce53e447ffcc73d68f32f6,282,282,9e1c70e2c44d1b48,4.2145953,2
2548,0,Megaceryle alcyon,73311285,289762,119667905,cc-by,"(c) Kyle Lambert, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/119667905/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/119667905/large.jpeg,https://www.inaturalist.org/observations/73311285,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,c3823fd408cd10b94c9f3cbbbf949c8141155d3b2c8d7dad878a6bad97140210,1024,683,0000000010000000,3.6179843,2
2548,0,Megaceryle alcyon,73311285,289762,119667930,cc-by,"(c) Kyle Lambert, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/119667930/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/119667930/large.jpeg,https://www.inaturalist.org/observations/73311285,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,dcb46c30891de9dd36639bc7df24953c01b71a3dc292ef6177cec7b4c55aa5eb,1024,683,0000002000000000,3.7555325,2
2548,0,Megaceryle alcyon,95588219,3367509,158707947,cc-by-sa,"(c) Robin Holm, some rights reserved (CC BY-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/158707947/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/158707947/large.jpeg,https://www.inaturalist.org/observations/95588219,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,69961957ef7f7179f88a9cb4079c3cd0c05d7aed6c8fa7b872ef2a0974a19a3d,1024,1024,fffff7ffffd7f3fb,3.7527542,2
2548,0,Megaceryle alcyon,95588219,3367509,158707962,cc-by-sa,"(c) Robin Holm, some rights reserved (CC BY-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/158707962/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/158707962/large.jpeg,https://www.inaturalist.org/observations/95588219,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,b6c84168af87759024356126611671f4b4ea85ff5aa13a0228bf0d134c9a9e52,1024,1023,7f7f77ffd7f7d7e7,3.9709074,2
2548,0,Megaceryle alcyon,99337586,3617051,165574077,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/165574077/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/165574077/large.jpg,https://www.inaturalist.org/observations/99337586,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,63f7f3072cbefa2f1deb4ca5b3f2718b298241bd71e743d274c1167306429ee3,768,1024,262727373737b73d,4.479928,2
2548,0,Megaceryle alcyon,99337586,3617051,165574098,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/165574098/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/165574098/large.jpg,https://www.inaturalist.org/observations/99337586,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,20c8d9b7a8bc390101bebca06d829cdd7de5d93635c2decb38e2111172d0eab4,768,1024,8393939393939c07,4.4656844,2
2548,0,Megaceryle alcyon,109982661,2241434,185462882,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/185462882/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/185462882/large.jpg,https://www.inaturalist.org/observations/109982661,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,25153c13a64982311b16fcfc2e5101abb1a8e0bf717673627d0bc4b7721567b0,1024,794,2c4c4c5294342548,3.9993057,2
2548,0,Megaceryle alcyon,109982661,2241434,185462889,cc0,no rights reserved,https://inaturalist-open-data.s3.amazonaws.com/photos/185462889/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/185462889/large.jpg,https://www.inaturalist.org/observations/109982661,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,835844a65d0b8c274331a7ca4974015afbdc2ff795feab55094a1a68c44398c8,825,1024,60d4d4d5d9f969cb,3.8298182,2
2548,0,Megaceryle alcyon,135751397,554,231584433,cc-by,"(c) Sterling Sheehy, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/231584433/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/231584433/large.jpg,https://www.inaturalist.org/observations/135751397,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,b28875c3655182a68be4cd48d25c51c1947d401c95361a59babb002ad74b201e,1024,576,e55f202320112044,3.3114302,1
2548,0,Megaceryle alcyon,135751397,554,231584451,cc-by,"(c) Sterling Sheehy, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/231584451/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/231584451/large.jpg,https://www.inaturalist.org/observations/135751397,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,4b20ef39746bcf853b438a8deacaf05b1cf37cc286b6a6987b42edb420fc807c,1024,576,76f46666a73333bb,3.50066,1
2548,0,Megaceryle alcyon,136311395,3132814,232614916,cc-by,"(c) Rebs Lee, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/232614916/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/232614916/large.jpg,https://www.inaturalist.org/observations/136311395,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,c462f54bca37edb43d45d68f78dd514d4aef0bac49a637dbc43bf010b3af2003,768,1024,1050523430302425,3.6419978,2
2548,0,Megaceryle alcyon,136311395,3132814,232615030,cc-by,"(c) Rebs Lee, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/232615030/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/232615030/large.jpg,https://www.inaturalist.org/observations/136311395,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,7a4c7c689a4ae192087b622a36c4521b1031656752a2063e7a8db647e50a5b28,768,1024,919386bc32e48088,3.8427758,2
2548,0,Megaceryle alcyon,148492713,554,255726278,cc-by,"(c) Sterling Sheehy, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/255726278/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/255726278/large.jpg,https://www.inaturalist.org/observations/148492713,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,5b68c9aa27e8ac777519690436a579ebd2c77fe12add916854137f89c1c23ebd,1024,768,8f07e0daf900081c,3.3788753,1
2548,0,Megaceryle alcyon,148492713,554,255726285,cc-by,"(c) Sterling Sheehy, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/255726285/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/255726285/large.jpg,https://www.inaturalist.org/observations/148492713,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,4556add4fdec0f44e5383f1f811747a22536f779fb1d85fb30bf89920152406c,1024,768,9f87e1d3f120381c,3.377378,1
2548,0,Megaceryle alcyon,149018254,94514,256720144,cc-by,"(c) Chris Quirin, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/256720144/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/256720144/large.jpg,https://www.inaturalist.org/observations/149018254,INDEPENDENT_EXPANDED_SAME_PLATFORM_COHORT_V2,external_feasibility_test,frozen_metadata_only_v2,True,4a807ec4177dfdca5fdaa436cd961d265cac2ade2efc0342926d8f59c6b9583b,1024,683,cc4d4dcf357d5ecb,4.4753647,2
